graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
all,0.00000002,0.00000008,0.0000001,8244.607874,2133.893442,4047.888649,241.5979774,113.7201872,368.8517973,121.6039081,1394.619458,70.33168399,60.42028608,0.000001717104833,0.000000006377690118,0.000000006364843811,0.00000001648809734,0.00000001695601285,0.000001864017892,0.0000000118698122,0.0000000118698122,0.00000002335017565,0.00000001880638918
all,0.0000002,0.0000008,0.000001,7866.062311,3058.18212,3792.237148,603.3005687,259.9605054,367.9015103,168.6620345,1469.665389,115.372026,97.68522836,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
all,0.000002,0.000008,0.00001,7845.140081,4686.173214,5374.786119,1483.233818,522.8420036,367.9112357,250.9759058,1722.644454,205.3709435,146.7746446,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
all,0.00002,0.00008,0.0001,8537.055237,6209.448926,6987.597679,3801.236681,1195.352021,367.9318076,300.3883785,1609.622725,303.0594505,229.8254147,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
all,0.0002,0.0008,0.001,8341.237814,6643.852734,8359.451467,6895.803771,2455.159904,372.0888463,332.1742575,1316.164477,416.4948803,355.5597415,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
all,0.002,0.008,0.01,9038.703377,7777.026837,14583.5104,11350.21412,4868.57498,391.2056586,380.4384961,924.4034458,574.6407569,511.0503646,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
all,0.02,0.08,0.1,15387.51175,14005.78853,47238.05901,22780.63138,10885.06058,536.1624346,534.3582278,788.9891479,814.3366989,794.025049,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
