graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
it-2004,0.00000002,0.00000008,0.0000001,23527.32116,6316.360851,7719.021685,1421.284404,585.0372952,1103.756852,314.3907846,815.5548006,187.6392415,259.087771,0.0000000689,0.000000007794840699,0.000000007878234852,0.00000002561786091,0.00000003441458206,0.0000000689,0.00000001916217051,0.00000001916217051,0.00000003910071211,0.00000004686162377
it-2004,0.0000002,0.0000008,0.000001,18602.23084,8148.036748,10041.30351,3576.337988,1254.604285,1104.357275,543.9652405,1032.833036,395.44874,2744.938925,0.000001717185993,0.00000001540173262,0.00000001538386727,0.00000006937223442,0.0000001022497317,0.000001864105996,0.00000003595716266,0.00000003595716266,0.0000001118776344,0.000000114205408
it-2004,0.000002,0.000008,0.00001,25911.3803,17003.49683,17480.20173,12957.52843,2932.065767,1107.398808,743.9525266,1241.215527,865.6310108,2848.320368,0.000001718056595,0.00000002141193753,0.00000002151666031,0.00000008570149084,0.0000003957253562,0.000001865112387,0.0000000604788038,0.0000000604788038,0.0000001747976248,0.0000005434589455
it-2004,0.00002,0.00008,0.0001,24566.29166,15630.80441,16146.79038,16522.72475,5749.24403,1106.038849,837.254012,1297.237828,1272.318878,3112.123356,0.000001725573764,0.00000006480274406,0.00000006478594824,0.0000001410187559,0.00000107560157,0.000001874160389,0.0000001896052164,0.0000001896052164,0.0000003301323811,0.000001647046978
it-2004,0.0002,0.0008,0.001,28230.06652,22449.43774,23990.62659,26151.28691,9195.132218,1114.330064,985.4127939,1411.474473,1641.22432,3434.482271,0.000001840758549,0.0000002530537019,0.0000002524545587,0.0000003096833808,0.000002332072936,0.000002019813127,0.0000006958901522,0.0000006958901522,0.0000007920004616,0.000003319511477
it-2004,0.002,0.008,0.01,24915.91963,23717.2957,35944.65806,32533.16535,12049.62195,1120.098387,1128.824272,1462.042186,1993.704117,3846.763751,0.000002087280502,0.0000007952234269,0.0000007975091099,0.000000808483199,0.000004407557019,0.000002343218199,0.000001596293709,0.000001596293709,0.000001601736611,0.000006075950678
it-2004,0.02,0.08,0.1,65059.29234,58949.07485,174271.4644,81123.34226,30683.62018,2189.859611,2060.865037,2220.788917,3164.014663,4887.263039,0.000001570248531,0.0000009033414396,0.0000008929024046,0.0000008943710577,0.000008084678428,0.000001761260094,0.000001860965699,0.000001860965699,0.000001860965699,0.000008932340978
