graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
kmer_V1r,0.00000002,0.00000008,0.0000001,8680.721152,2916.035417,9008.601056,169.2436635,174.3327705,194.6167849,78.55991849,3115.547287,39.13405456,73.16400465,0.00139,0.000000016215142,0.000000016215142,0.000000016215142,0.000000009272120351,0.00179,0.00000002777102682,0.00000002777102682,0.00000002777102682,0.000000006767906961
kmer_V1r,0.0000002,0.0000008,0.000001,9596.710348,3714.739525,7050.646232,189.2796847,184.9621213,194.1998456,91.53998689,3109.274473,43.39762692,73.19080056,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
kmer_V1r,0.000002,0.000008,0.00001,8361.494456,3083.829538,7229.706894,358.909961,209.113796,194.2398909,91.53994321,3114.084654,44.11935076,94.15936387,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
kmer_V1r,0.00002,0.00008,0.0001,9503.326823,5955.147047,9121.665146,1747.607383,450.3121433,194.4798209,143.970685,3128.99168,71.70216098,118.8998822,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
kmer_V1r,0.0002,0.0008,0.001,9368.934182,5949.376523,9026.758324,5199.042156,1804.884046,195.2187399,144.5130258,2625.58169,112.9970316,245.9997725,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
kmer_V1r,0.002,0.008,0.01,9678.950239,7500.419208,10866.23552,9557.300123,5261.76401,201.0599443,172.7600328,1938.027015,221.2855234,389.7774731,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
kmer_V1r,0.02,0.08,0.1,11020.46431,8711.974917,14846.61368,18029.73826,10080.92693,264.3799063,241.2633035,839.5273287,383.7733545,712.3467079,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
