graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
europe_osm,0.00000002,0.00000008,0.0000001,1993.419784,784.3722715,4212.628331,41.72769696,44.04749888,53.83997772,25.6273427,21533.21869,15.8852803,28.46983553,0.000432,0.000000005089844953,0.000000005086435811,0.00000000512164632,0.000000003566064553,0.000548,0.000000011078798,0.000000011078798,0.000000011078798,0.00000000226597371
europe_osm,0.0000002,0.0000008,0.000001,2119.292242,1205.757157,1862.099974,49.11426875,39.71016107,53.65862636,39.43994391,14885.57861,22.70839455,33.27133536,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
europe_osm,0.000002,0.000008,0.00001,2319.895575,2195.6672,2319.09972,73.07104934,49.63625243,53.61799124,58.30852287,11114.80001,31.11416854,38.79498595,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
europe_osm,0.00002,0.00008,0.0001,2358.76213,2297.750467,2552.31813,222.24697,100.7445664,53.73870357,63.93071664,5781.243573,38.55219584,47.60575262,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
europe_osm,0.0002,0.0008,0.001,2284.889419,2314.583974,2532.887774,1308.479819,325.9524746,53.79884382,65.73989028,2592.439684,59.16144156,70.33069558,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
europe_osm,0.002,0.008,0.01,2201.015418,2323.497048,2532.213459,3531.832503,1389.698681,55.74565199,69.71353592,632.9054589,105.0956493,114.192238,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
europe_osm,0.02,0.08,0.1,3180.274742,4076.711841,4809.322747,7165.448204,3571.329959,71.8599555,92.73998706,215.9069029,145.802452,178.9759697,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
