graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
indochina-2004,0.00000002,0.00000008,0.0000001,4230.698152,1028.448692,1536.391831,40.24749921,20.23337021,263.2311523,87.30623508,184.6614365,49.15347324,33.79735843,0.0000000676,0.000000003834629064,0.000000003863174361,0.000000009387336655,0.00000001400604372,0.0000000676,0.000000007411286431,0.000000007411286431,0.00000001315701541,0.00000002030387192
indochina-2004,0.0000002,0.0000008,0.000001,3774.333459,2077.430999,2459.796061,389.1049966,78.62371368,256.8528076,150.4466469,232.4097007,100.8913014,75.41238338,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
indochina-2004,0.000002,0.000008,0.00001,4023.655186,2623.622138,3000.741252,1959.852238,517.2532657,254.0561479,208.8128591,289.6796935,211.3671239,123.7252114,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
indochina-2004,0.00002,0.00008,0.0001,4169.145572,3070.400841,3893.52893,3653.930801,1339.190905,263.1495861,215.2885244,303.5779158,283.6915956,181.1906299,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
indochina-2004,0.0002,0.0008,0.001,4370.19485,4133.1705,12095.85054,5423.372131,2092.592141,266.0247839,264.2316171,350.7656487,375.6032695,250.2249363,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
indochina-2004,0.002,0.008,0.01,5624.670002,5327.010161,88822.39269,7693.807562,3128.083449,282.0891552,284.8872707,368.4555989,437.9763185,339.2263347,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
indochina-2004,0.02,0.08,0.1,11390.83882,11085.19102,792762.4208,15163.85159,7292.071721,347.7780082,357.9668993,402.5706014,545.3260205,432.4907376,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
