graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
sk-2005,0.00000002,0.00000008,0.0000001,51037.72035,17214.8062,18887.69469,5239.341209,1129.294133,3992.618729,1613.690742,3360.177884,1508.970013,882.7439348,0.00000003257997541,0.000000005092614625,0.000000005159794329,0.00000007461926124,0.000000109998888,0.00000003257997541,0.000000008648492476,0.000000008648492476,0.00000009683790151,0.0000001447625151
sk-2005,0.0000002,0.0000008,0.000001,37336.75774,16613.16605,16998.60882,12045.59841,2638.752336,3988.618939,2094.636467,3862.819035,2232.963733,1319.814292,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
sk-2005,0.000002,0.000008,0.00001,39273.01698,23205.23481,24261.90387,22756.54852,5124.092922,3992.118887,2736.497257,4461.889073,3239.982996,1753.373543,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
sk-2005,0.00002,0.00008,0.0001,41773.08705,29913.60705,32751.49681,35777.54958,9892.73112,3992.912163,3228.346547,4854.486622,4059.980039,2616.607965,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
sk-2005,0.0002,0.0008,0.001,44331.56817,37238.53827,45875.92911,54823.32465,14754.76636,4014.597927,3733.308066,5144.177907,4921.357002,3304.691615,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
sk-2005,0.002,0.008,0.01,43915.80011,42484.91503,104374.998,77467.18641,19081.89066,4221.824519,4417.534252,5262.960652,6120.761915,4291.502362,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
sk-2005,0.02,0.08,0.1,96243.11501,106350.5492,763901.8291,148637.9618,44474.10513,5616.887115,5449.278159,5722.561559,7493.552915,6338.972186,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
