graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
com-Orkut,0.00000002,0.00000008,0.0000001,7201.148014,1231.761444,1723.842214,724.35099,221.5378264,491.2845111,99.51428436,151.1838601,69.2735515,33.2086082,0.00000372,0.00000001542598522,0.00000001539130733,0.00000005616878457,0.00000008629178735,0.00000372,0.00000002889382769,0.00000002889382769,0.00000007149102113,0.000000105159496
com-Orkut,0.0000002,0.0000008,0.000001,6994.747277,1444.743979,1603.71719,1502.404137,667.9008186,489.0974799,127.353301,184.7021127,131.1736522,69.04810078,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
com-Orkut,0.000002,0.000008,0.00001,6313.992151,5225.357721,5465.369069,6135.695967,1399.187702,494.0648859,402.3021978,474.9472153,479.2602668,161.3584621,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
com-Orkut,0.00002,0.00008,0.0001,7364.959489,6443.859044,6761.166377,8969.108148,3727.129968,482.7128075,415.6430771,483.3089902,555.3231638,365.8773323,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
com-Orkut,0.0002,0.0008,0.001,7412.276257,6625.855428,10582.40231,11290.48425,5815.219859,497.7967882,408.3755033,494.1737976,625.1346793,577.6441017,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
com-Orkut,0.002,0.008,0.01,7843.641538,6491.166857,46045.61224,12883.73714,7555.029929,523.9443671,501.4294337,582.2748267,777.6376589,778.2108098,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
com-Orkut,0.02,0.08,0.1,9275.086254,8756.375393,345616.3699,17181.67912,11877.29514,548.135685,560.1957864,617.1360098,813.9629284,826.1861598,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
