graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
com-LiveJournal,0.00000002,0.00000008,0.0000001,2256.191647,402.6722705,701.6382148,57.10778188,24.52076713,182.7337717,33.04603641,63.48799637,13.81113896,10.51901858,0.00000156,0.00000001036824745,0.000000009431730898,0.00000003032902196,0.00000003346504036,0.00000185,0.00000002144854187,0.00000002144854187,0.00000003549266848,0.00000004103483902
com-LiveJournal,0.0000002,0.0000008,0.000001,2607.727125,1714.472947,1807.872603,891.2178398,198.0136557,182.2899477,113.9726472,146.6040843,113.2456656,31.59515145,0.000001717185993,0.00000001540173262,0.00000001538386727,0.00000006937223442,0.0000001022497317,0.000001864105996,0.00000003595716266,0.00000003595716266,0.0000001118776344,0.000000114205408
com-LiveJournal,0.000002,0.000008,0.00001,2928.361721,2252.798242,2324.485465,1953.064113,532.0666145,184.4539124,129.7787239,156.7355869,156.8508664,64.43481368,0.000001718056595,0.00000002141193753,0.00000002151666031,0.00000008570149084,0.0000003957253562,0.000001865112387,0.0000000604788038,0.0000000604788038,0.0000001747976248,0.0000005434589455
com-LiveJournal,0.00002,0.00008,0.0001,2958.188422,2169.636191,2267.052662,2588.318814,910.4005573,186.0436707,130.8707497,159.0953523,179.2258212,121.621664,0.000001725573764,0.00000006480274406,0.00000006478594824,0.0000001410187559,0.00000107560157,0.000001874160389,0.0000001896052164,0.0000001896052164,0.0000003301323811,0.000001647046978
com-LiveJournal,0.0002,0.0008,0.001,2755.195017,2190.491462,2389.540077,2290.087626,1297.517132,179.5441564,134.0716073,160.610617,215.6446242,173.6720185,0.000001840758549,0.0000002530537019,0.0000002524545587,0.0000003096833808,0.000002332072936,0.000002019813127,0.0000006958901522,0.0000006958901522,0.0000007920004616,0.000003319511477
com-LiveJournal,0.002,0.008,0.01,2929.542112,1933.438355,3195.540671,3281.841111,1770.197063,185.1775175,160.5518498,177.9915502,250.9491997,246.8708966,0.000002087280502,0.0000007952234269,0.0000007975091099,0.000000808483199,0.000004407557019,0.000002343218199,0.000001596293709,0.000001596293709,0.000001601736611,0.000006075950678
com-LiveJournal,0.02,0.08,0.1,3908.50304,2996.814678,10551.29288,5076.851166,3456.61046,203.5397966,199.0297718,211.2413864,303.2507769,308.9134242,0.000001570248531,0.0000009033414396,0.0000008929024046,0.0000008943710577,0.000008084678428,0.000001761260094,0.000001860965699,0.000001860965699,0.000001860965699,0.000008932340978
