graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
uk-2002,0.00000002,0.00000008,0.0000001,6523.588522,1543.423289,2628.623822,100.3879807,36.10719774,414.5195165,157.5858532,266.385772,64.62181429,42.26495331,0.0000000313,0.000000004174977246,0.000000004122525514,0.00000001055348383,0.00000001679628541,0.0000000375,0.000000007377421557,0.000000007377421557,0.00000001627228807,0.00000002987771048
uk-2002,0.0000002,0.0000008,0.000001,5701.378142,2032.693316,2129.667235,422.3965719,132.1394024,410.3231139,190.5511597,304.7425326,119.2017307,79.10472952,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
uk-2002,0.000002,0.000008,0.00001,5655.684054,2698.809998,2749.869191,1299.780767,338.5177166,415.7062817,276.3888183,432.5214959,224.8034194,123.5217717,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
uk-2002,0.00002,0.00008,0.0001,6794.60791,4219.405512,4775.167487,4579.686003,1167.235726,415.3057686,318.4575011,579.7064923,389.9978181,210.746095,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
uk-2002,0.0002,0.0008,0.001,5905.418625,3756.924294,4057.965379,4725.58798,2055.929467,417.8067916,319.2427426,516.517132,465.6654394,297.1986488,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
uk-2002,0.002,0.008,0.01,7972.176699,5830.014921,6266.944973,8060.314673,3414.616763,449.4005156,387.8336567,517.4257181,578.5830655,407.3561048,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
uk-2002,0.02,0.08,0.1,15404.23814,12154.04639,15583.04997,19090.35159,9075.401394,643.0861489,602.8595876,672.8899886,859.9991656,681.9725189,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
