graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
kmer_A2a,0.00000002,0.00000008,0.0000001,14658.48936,3598.709085,9490.848111,133.8961328,130.3998392,323.2917279,91.15987704,5173.199581,34.27986009,61.95972294,0.000285,0.00000001427253649,0.00000001427253649,0.000000014189134,0.000000008714290012,0.000357,0.00000001798485024,0.00000001798485024,0.00000001798485024,0.000000005872701417
kmer_A2a,0.0000002,0.0000008,0.000001,13141.20014,3455.014326,6366.961302,133.0242867,141.2011323,322.6980416,95.1008503,5187.102312,35.40523775,65.91693655,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
kmer_A2a,0.000002,0.000008,0.00001,14178.30813,5331.768974,8097.420351,354.200302,226.6091883,321.9153342,126.7030568,5217.379175,44.86179709,80.5119699,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
kmer_A2a,0.00002,0.00008,0.0001,14192.08354,6390.445705,9466.345823,3424.267681,491.0063213,322.3169102,166.0545949,5125.044413,68.02826881,111.7239142,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
kmer_A2a,0.0002,0.0008,0.001,13647.19868,7676.121902,10342.05319,6088.292091,1405.461585,323.2983695,199.2754829,4860.977767,134.2932094,215.1599851,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
kmer_A2a,0.002,0.008,0.01,14607.59503,8504.52096,11941.96099,10473.87582,5121.031851,333.0748138,223.1196648,2427.23489,258.5,364.0177001,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
kmer_A2a,0.02,0.08,0.1,16561.35422,10574.85532,15704.62916,20205.30419,9712.628976,422.8764311,299.9304616,1032.269024,469.1754842,712.4521011,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
