graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
arabic-2005,0.00000002,0.00000008,0.0000001,9200.606075,2500.676079,4068.912293,438.4483818,131.281486,671.3724813,238.6536374,605.6169375,137.831948,85.83140995,0.000000181,0.000000004961169126,0.000000004995229027,0.00000002465568141,0.00000003450742861,0.000000181,0.000000008037030001,0.000000008037030001,0.00000002832527527,0.00000004624404296
arabic-2005,0.0000002,0.0000008,0.000001,8726.062465,3847.938609,4242.328194,1313.211329,351.6732771,673.3184409,354.249832,728.5280624,246.2261687,143.9236079,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
arabic-2005,0.000002,0.000008,0.00001,9752.095326,6393.481256,6721.108031,4764.442648,1088.708637,668.1933324,490.0798756,892.0916709,536.5035148,261.6669606,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
arabic-2005,0.00002,0.00008,0.0001,9648.044788,8494.124171,8867.391179,9028.351712,2215.788331,666.8582173,657.7069748,1040.952705,905.5185837,465.6265146,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
arabic-2005,0.0002,0.0008,0.001,10182.04422,9329.008798,10097.90953,11609.30858,3542.857463,677.0587244,702.646057,1100.300618,1067.790393,629.055089,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
arabic-2005,0.002,0.008,0.01,11750.27781,10818.06683,19707.16822,15815.80074,5866.055218,756.8948341,774.6318716,1054.388927,1261.675517,859.1827119,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
arabic-2005,0.02,0.08,0.1,32427.04631,31130.06948,122439.5208,40781.23446,17881.75448,1190.134714,1165.556648,1339.644439,1804.64704,1432.710128,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
