graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
uk-2005,0.00000002,0.00000008,0.0000001,26867.78974,7190.868612,9115.683038,3056.623776,643.1471796,1098.938601,356.0787885,2519.250558,255.5535325,147.0837747,0.000000121,0.00000000514365613,0.000000005137162374,0.00000002629325703,0.00000003344569867,0.000000121,0.00000001522568023,0.00000001522568023,0.00000003720809877,0.0000000458634257
uk-2005,0.0000002,0.0000008,0.000001,25645.57138,11018.56158,9847.364343,6988.856116,2941.563829,1101.226889,515.7854811,2684.698778,399.8977435,280.358858,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
uk-2005,0.000002,0.000008,0.00001,23149.82196,12893.977,13179.56825,9233.161593,2958.155096,1102.629396,703.1586469,2907.211129,665.0358414,371.3839992,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
uk-2005,0.00002,0.00008,0.0001,24027.71209,15664.49153,16246.45771,15830.41633,5823.266059,1103.100804,809.6505452,2269.037082,1078.571752,615.6528312,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
uk-2005,0.0002,0.0008,0.001,23916.30277,19963.36398,20497.26498,23213.46861,9168.334781,1116.642026,1038.74687,2327.999846,1628.268974,1021.342229,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
uk-2005,0.002,0.008,0.01,29004.96531,25437.79014,27094.90376,32588.76204,14206.50184,1223.080698,1244.332734,1719.379549,2034.516613,1462.005204,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
uk-2005,0.02,0.08,0.1,59039.46111,47169.89132,64313.77467,68090.67625,32536.19488,2133.065985,2062.309942,2350.172525,3065.376659,2569.360398,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
