graph,batch_deletions_fraction,batch_insertions_fraction,batch_fraction,stao-t,naio-t,trao-t,froo-t,fropo-t,stac-t,naic-t,trac-t,froc-t,fropc-t,stao-e,naio-e,trao-e,froo-e,fropo-e,stac-e,naic-e,trac-e,froc-e,fropc-e
asia_osm,0.00000002,0.00000008,0.0000001,604.2328194,221.3051457,962.261661,10.65272908,7.80374456,14.6,8.579906322,12182.43095,6.6,8.916855081,0.000195,0.000000002256766442,0.00000000226289905,0.000000002344899681,0.000000001075548841,0.000195,0.000000003936707088,0.000000003936707088,0.000000003936707088,0.000000001088681676
asia_osm,0.0000002,0.0000008,0.000001,664.7063409,392.6479134,694.6690845,13.65966103,9.306615521,14.63978261,10.70704549,8553.097274,8.070700758,11.81837414,0.000001717185993,0.00000001695387047,0.00000001694392022,0.00000006744121219,0.000000104122631,0.000001864105996,0.00000003896555693,0.00000003896555693,0.0000001077846879,0.0000001177966705
asia_osm,0.000002,0.000008,0.00001,615.2635932,511.4085986,576.1141381,16.3957277,10.73992836,14.6,15.66397399,6241.541907,11.62719217,13.85686465,0.000001717858734,0.00000002065353659,0.00000002055109521,0.00000008982878245,0.0000004014066304,0.00000186488248,0.00000005396660292,0.00000005396660292,0.0000001797299243,0.0000005145287454
asia_osm,0.00002,0.00008,0.0001,685.9906355,809.8228077,853.6888281,53.32853119,24.60816335,14.6,21.31690806,3143.396455,17.35770469,16.68961764,0.000001725189257,0.00000005955503681,0.00000005951550052,0.0000001349726282,0.000001051157965,0.000001873843746,0.000000172546439,0.000000172546439,0.0000003135918826,0.000001525445239
asia_osm,0.0002,0.0008,0.001,638.954291,849.61517,902.6557617,349.718301,129.4798807,14.75991863,23.38372582,744.2053942,26.07996928,24.88609158,0.000001817035496,0.0000002318263703,0.0000002297355293,0.0000002926210725,0.00000238673913,0.000001988149315,0.0000006189494821,0.0000006189494821,0.00000073001005,0.000003135374623
asia_osm,0.002,0.008,0.01,578.7148679,751.1083852,852.1841388,1113.085632,451.3781937,15.79615834,24.07734839,167.3020665,40.31499954,37.85996829,0.000001996370933,0.0000008212447003,0.0000008155247636,0.0000008204471873,0.000004293407746,0.000002216058938,0.000001655266007,0.000001655266007,0.000001661634765,0.000006151949067
asia_osm,0.02,0.08,0.1,825.6324066,1075.312137,1357.568034,1991.16381,947.8648736,19.95256307,30.2748624,59.97816331,51.43224128,50.47795952,0.000001621577438,0.0000008591906993,0.0000008615709277,0.0000008497391147,0.000008197935192,0.000001842901622,0.000001736033965,0.000001736033965,0.000001736033965,0.00001028268531
